,count,hate_speech,offensive_language,neither,class,tweet
0,,,,,neither,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting ."
1,,,,,neither,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos ."
2,,,,,neither,( Simply copy and paste the following text into your YouTube videos description boxes. )
3,,,,,hate_speech,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .
4,,,,,neither,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .
5,,,,,neither,"Booklet updated on Feb. 14th , 2014 ."
6,,,,,neither,"( Now with over 18,300 Downloads. )"
7,,,,,neither,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?
8,,,,,neither,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?
9,,,,,neither,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt
10,,,,,hate_speech,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !"
11,,,,,neither,Thank you for the info. i will deffinetly look into them .
12,,,,,neither,I hope there is room for one more as i am very excited about this .
13,,,,,neither,I just came across this piece of garbage .
14,,,,,neither,Comments say she is from SA .
15,,,,,neither,Warning : Graphic .
16,,,,,neither,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube
17,,,,,neither,The whites are more in the range of 4.8 million .
18,,,,,neither,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .
19,,,,,neither,Thank you for posting your story .
20,,,,,neither,I think you should write a book as well .
21,,,,,hate_speech,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me ."
22,,,,,hate_speech,And the sad thing is the white students at those schools will act like that too .
23,,,,,neither,"I guess I 'll just stick to homeschooling my kids , when and if I have them ..."
24,,,,,neither,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .
25,,,,,neither,No wonder young people ca n't get jobs .
26,,,,,neither,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .
27,,,,,neither,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images ."
28,,,,,neither,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .
29,,,,,neither,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .
30,,,,,neither,I think VHS tapes are available at Amazon .
31,,,,,hate_speech,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .
32,,,,,neither,When the girl starts talking the guy in the middles lips start moving .
33,,,,,neither,"He was checking her lines , bad actors ca n't help themselves from doing this ."
34,,,,,neither,This whole situation starts to become really bizarre .
35,,,,,neither,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......
36,,,,,neither,I do n't know who to support anymore ................
37,,,,,neither,I've read many post on here saying Israel gives training to US law enforcement .
38,,,,,neither,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .
39,,,,,neither,I believe his dog would like to get as far away from him as possible !
40,,,,,neither,Free North Carolina : Peterson 's particulars VikingInMe
41,,,,,neither,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this ."
42,,,,,hate_speech,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers
43,,,,,neither,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada
44,,,,,neither,I do n't watch T.V. or Hollywood movies .
45,,,,,neither,I know of Chris Rock and subsequently have hated him for a long time .
46,,,,,hate_speech,He is a pathetic little chimp .
47,,,,,neither,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .
48,,,,,neither,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube ."
49,,,,,neither,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube ."
50,,,,,neither,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .
51,,,,,neither,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .
52,,,,,neither,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .
53,,,,,neither,com/watch ? v = n663eVTSyS8
54,,,,,neither,Note!
55,,,,,neither,"Wntube is now .net , not .com."
56,,,,,neither,They have improved the site .
57,,,,,neither,Please contribute and/or donate .
